id,date,mean,min,max,stdev,field,year,month,day,month_day
0,2018-10-22,0.5723740520534424,0.12910053133964539,0.7714903354644775,0.08619135451179553,G1,2018,10,22,10-22
1,2018-10-17,0.4791007315104305,0.13279558718204498,0.6660929322242737,0.07220901826826227,G1,2018,10,17,10-17
2,2018-10-15,0.4650557440980249,0.1023244634270668,0.7181742191314697,0.07651039851065977,G1,2018,10,15,10-15
3,2018-10-10,0.3883287561146585,0.10980966687202454,0.6148586869239807,0.0625573903074341,G1,2018,10,10,10-10
4,2018-10-02,0.3128711028736091,0.11825257539749146,0.49291035532951355,0.04595526187243457,G1,2018,10,2,10-02
5,2018-09-30,0.3048187159290252,0.09504017978906631,0.4681335389614105,0.04516477286439456,G1,2018,9,30,09-30
6,2018-09-27,0.2926550464359521,0.11240029335021973,0.45706906914711,0.0401034573309894,G1,2018,9,27,09-27
7,2018-09-22,0.24922606405662281,0.11068793386220932,0.4229118525981903,0.03264915372967375,G1,2018,9,22,09-22
8,2018-09-17,0.21350870485592602,0.056348610669374466,0.4569152891635895,0.02543539241597107,G1,2018,9,17,09-17
9,2018-09-15,0.21703974060179693,0.08263795077800751,0.4882856011390686,0.025729865874804844,G1,2018,9,15,09-15
10,2018-09-12,0.2093571334996314,0.10007678717374802,0.45486852526664734,0.02143679387414646,G1,2018,9,12,09-12
11,2018-09-10,0.19650150575529796,0.08393442630767822,0.4790113866329193,0.021225183099054287,G1,2018,9,10,09-10
12,2018-09-02,0.16639010233121268,0.04394012689590454,0.5,0.018545364902779693,G1,2018,9,2,09-02
13,2018-08-31,0.16853001232297507,0.05777210369706154,0.45481157302856445,0.017575430993007318,G1,2018,8,31,08-31
14,2018-08-28,0.16861920997110474,0.06815425306558609,0.47826087474823,0.01965985593710105,G1,2018,8,28,08-28
15,2018-08-23,0.1508704760583242,0.07644142955541611,0.4771006107330322,0.018780398619925174,G1,2018,8,23,08-23
16,2018-08-21,0.15608286857624357,0.057150669395923615,0.47331786155700684,0.019042768013977023,G1,2018,8,21,08-21
17,2018-08-18,0.15273135848027136,0.06867846101522446,0.48592323064804077,0.019229016595768568,G1,2018,8,18,08-18
18,2018-08-16,0.1489301568655048,0.0169863011687994,0.4861111044883728,0.019656315194656396,G1,2018,8,16,08-16
19,2018-08-13,0.15106166628555323,0.05773305147886276,0.49926361441612244,0.018847446233682397,G1,2018,8,13,08-13
20,2018-08-11,0.15140935824892243,0.047516196966171265,0.4864661693572998,0.01991513205013013,G1,2018,8,11,08-11
21,2018-08-08,0.1538697778771362,0.06340436637401581,0.5032822489738464,0.02006839659341657,G1,2018,8,8,08-08
22,2018-08-03,0.14553981338940938,0.03239625319838524,0.45524102449417114,0.018830435826785206,G1,2018,8,3,08-03
23,2018-08-01,0.14901511345907825,0.03493325784802437,0.5210181474685669,0.02058722646829992,G1,2018,8,1,08-01
24,2018-07-27,0.14174674290330203,0.02630040980875492,0.49884170293807983,0.020427450119339743,G1,2018,7,27,07-27
25,2018-07-24,0.14022062179553635,0.03814350441098213,0.45625942945480347,0.019589930920513476,G1,2018,7,24,07-24
26,2018-07-22,0.14598529876740404,0.031386859714984894,0.5024875402450562,0.021325108936601,G1,2018,7,22,07-22
27,2018-07-19,0.14075254430073714,0.061086736619472504,0.5007112622261047,0.022687708123469798,G1,2018,7,19,07-19
28,2018-07-17,0.14068212539609648,0.03678160905838013,0.5015456080436707,0.022427350642795052,G1,2018,7,17,07-17
29,2018-07-14,0.14426524614156816,0.05667680501937866,0.48156681656837463,0.02199957965451163,G1,2018,7,14,07-14
30,2018-07-09,0.14011049822273441,0.052375152707099915,0.529704749584198,0.026335536394757244,G1,2018,7,9,07-09
31,2018-07-07,0.13902642591488545,0.04997128248214722,0.516466498374939,0.024447952826076307,G1,2018,7,7,07-07
32,2018-07-04,0.14398250772754057,0.038848139345645905,0.5174506902694702,0.02453581379506084,G1,2018,7,4,07-04
33,2018-06-29,0.13211037447862817,-0.10542168468236923,0.46503496170043945,0.0489585340129846,G1,2018,6,29,06-29
34,2018-06-24,0.1489269053995734,0.06079251691699028,0.4850691854953766,0.023042119595018964,G1,2018,6,24,06-24
35,2018-06-22,0.15317908354453624,0.05432835966348648,0.5208408832550049,0.02390550325030735,G1,2018,6,22,06-22
36,2018-06-19,0.15804839121080652,0.07587908953428268,0.5322731733322144,0.023898103943768453,G1,2018,6,19,06-19
37,2018-06-17,0.15037069140532308,0.05201238393783569,0.5098756551742554,0.02299049650031883,G1,2018,6,17,06-17
38,2018-06-14,0.15063152392314197,0.06495026499032974,0.4849354326725006,0.022760354774450202,G1,2018,6,14,06-14
39,2018-06-12,0.15472485055246207,0.0687529668211937,0.5076813101768494,0.023879411190013876,G1,2018,6,12,06-12
40,2018-06-07,0.15287113813459136,0.04002521187067032,0.5245388150215149,0.023163825795266144,G1,2018,6,7,06-07
41,2018-06-04,0.15102299902451824,0.06035437434911728,0.4907670319080353,0.023074751832022868,G1,2018,6,4,06-04
42,2018-06-02,0.1517207956341832,0.06541049480438232,0.5403859615325928,0.024736005805428347,G1,2018,6,2,06-02
43,2018-05-23,0.15141505696130844,0.07609347254037857,0.5360862016677856,0.02556188528668685,G1,2018,5,23,05-23
44,2018-05-20,0.14981842719262276,0.06281726062297821,0.5423822999000549,0.02649771445862924,G1,2018,5,20,05-20
45,2018-05-18,0.14586951023627426,0.05620608851313591,0.5198842883110046,0.023918237264026396,G1,2018,5,18,05-18
46,2018-05-15,0.14912937983627106,0.06666667014360428,0.46038544178009033,0.024024555998246114,G1,2018,5,15,05-15
